Name,Team,PA,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,392,0.365,32,71,0.474,0.74,6,0.496,228,0.446,0.375,0.25255102040816324,0.16326530612244897
Cal Raleigh,SEA,380,0.271,35,74,0.379,0.648,9,0.424,184,0.269,0.377,0.25,0.1394736842105263
Pete Crow-Armstrong,CHC,366,0.274,23,66,0.309,0.559,26,0.368,138,0.298,0.28500000000000003,0.23224043715846995,0.04371584699453552
Bobby Witt Jr.,KCR,387,0.293,11,47,0.346,0.49,24,0.355,125,0.338,0.197,0.18863049095607234,0.07235142118863049
Shohei Ohtani,LAD,402,0.282,30,56,0.384,0.622,12,0.418,171,0.313,0.34,0.2537313432835821,0.13681592039800994
Jeremy Pena,HOU,350,0.322,11,40,0.378,0.489,15,0.377,145,0.36,0.16699999999999998,0.15714285714285714,0.05714285714285714
James Wood,WSN,390,0.292,23,67,0.395,0.559,12,0.403,161,0.354,0.26700000000000007,0.2641025641025641,0.14615384615384616
Kyle Tucker,CHC,387,0.284,17,52,0.388,0.518,21,0.386,151,0.295,0.23400000000000004,0.1421188630490956,0.1421188630490956
Trea Turner,PHI,387,0.299,11,39,0.351,0.451,21,0.35,122,0.336,0.15200000000000002,0.16279069767441862,0.06718346253229975
Corbin Carroll,ARI,323,0.255,20,44,0.341,0.573,10,0.387,149,0.285,0.31799999999999995,0.2476780185758514,0.09287925696594428
Fernando Tatis Jr.,SDP,373,0.261,15,38,0.351,0.445,18,0.346,126,0.282,0.184,0.17158176943699732,0.1126005361930295
Will Smith,LAD,277,0.33,12,45,0.433,0.564,2,0.427,178,0.368,0.23399999999999993,0.17689530685920576,0.15162454873646208
Byron Buxton,MIN,304,0.272,19,52,0.336,0.544,15,0.372,141,0.314,0.272,0.26973684210526316,0.08223684210526316
Jose Ramirez,CLE,350,0.299,14,39,0.36,0.49,21,0.362,135,0.303,0.191,0.11428571428571428,0.08
Francisco Lindor,NYM,393,0.258,17,46,0.326,0.45,13,0.335,118,0.272,0.192,0.178117048346056,0.0737913486005089
Andy Pages,LAD,345,0.29,17,58,0.328,0.502,6,0.356,129,0.318,0.21200000000000002,0.2,0.043478260869565216
Riley Greene,DET,364,0.29,21,69,0.343,0.54,1,0.378,147,0.374,0.25000000000000006,0.3076923076923077,0.07142857142857142
Jacob Wilson,ATH,347,0.337,9,42,0.379,0.474,5,0.372,137,0.346,0.13699999999999996,0.07492795389048991,0.05475504322766571
CJ Abrams,WSN,336,0.287,12,31,0.358,0.487,19,0.367,136,0.319,0.2,0.16964285714285715,0.07142857142857142
Elly De La Cruz,CIN,380,0.276,18,60,0.35,0.491,22,0.361,126,0.336,0.21499999999999997,0.25526315789473686,0.09736842105263158
Geraldo Perdomo,ARI,385,0.273,9,59,0.371,0.42,13,0.348,122,0.285,0.14699999999999996,0.11688311688311688,0.13506493506493505
Alejandro Kirk,TOR,289,0.304,7,41,0.356,0.418,0,0.34,118,0.317,0.11399999999999999,0.10034602076124567,0.07612456747404844
Manny Machado,SDP,370,0.292,14,51,0.357,0.482,8,0.362,136,0.318,0.19,0.16216216216216217,0.0945945945945946
Juan Soto,NYM,388,0.266,21,50,0.399,0.516,10,0.392,157,0.27,0.25,0.16752577319587628,0.18298969072164947
Pete Alonso,NYM,388,0.287,18,68,0.379,0.53,1,0.39,156,0.338,0.24300000000000005,0.2268041237113402,0.10051546391752578
Matt Olson,ATL,382,0.264,16,56,0.364,0.479,0,0.365,134,0.311,0.21499999999999997,0.23036649214659685,0.13350785340314136
Zach McKinstry,DET,303,0.289,6,26,0.361,0.462,10,0.356,131,0.36,0.17300000000000004,0.22112211221122113,0.09570957095709572
Maikel Garcia,KCR,358,0.303,8,39,0.362,0.467,18,0.361,130,0.336,0.16400000000000003,0.13687150837988826,0.08379888268156424
Isaac Paredes,HOU,367,0.255,18,48,0.357,0.468,0,0.361,134,0.263,0.21300000000000002,0.16893732970027248,0.11989100817438691
Jake Meyers,HOU,317,0.309,3,21,0.368,0.407,14,0.343,122,0.371,0.09799999999999998,0.17350157728706625,0.08201892744479496
Ceddanne Rafaela,BOS,311,0.253,9,34,0.299,0.424,11,0.314,96,0.294,0.17099999999999999,0.19935691318327975,0.04823151125401929
Kyle Schwarber,PHI,389,0.249,26,60,0.38,0.533,8,0.391,151,0.277,0.28400000000000003,0.2570694087403599,0.15938303341902313
Eugenio Suarez,ARI,353,0.252,28,72,0.32,0.57,1,0.376,141,0.262,0.31799999999999995,0.2719546742209632,0.06232294617563739
Randy Arozarena,SEA,376,0.252,13,41,0.359,0.443,15,0.353,134,0.319,0.191,0.26063829787234044,0.10904255319148937
Steven Kwan,CLE,361,0.296,6,26,0.358,0.417,11,0.341,121,0.309,0.121,0.08310249307479224,0.08310249307479224
Ernie Clement,TOR,311,0.296,4,24,0.339,0.398,3,0.323,107,0.319,0.10200000000000004,0.10289389067524116,0.06109324758842444
Julio Rodriguez,SEA,394,0.249,11,43,0.307,0.391,14,0.306,102,0.295,0.14200000000000002,0.2131979695431472,0.0583756345177665
Michael Busch,CHC,308,0.288,17,55,0.373,0.546,4,0.395,157,0.33,0.25800000000000006,0.22402597402597402,0.1038961038961039
Freddie Freeman,LAD,321,0.313,10,47,0.383,0.507,0,0.38,146,0.376,0.194,0.2087227414330218,0.09657320872274143
Gleyber Torres,DET,330,0.279,9,44,0.385,0.424,4,0.359,134,0.297,0.14499999999999996,0.12727272727272726,0.1393939393939394
Gunnar Henderson,BAL,341,0.279,10,29,0.349,0.451,10,0.346,124,0.355,0.172,0.24633431085043989,0.09090909090909091
Brendan Donovan,STL,353,0.293,7,32,0.364,0.43,3,0.347,124,0.328,0.137,0.141643059490085,0.08498583569405099
Max Muncy,LAD,315,0.25,13,55,0.375,0.457,4,0.363,134,0.285,0.20700000000000002,0.21904761904761905,0.1619047619047619
Junior Caminero,TBR,346,0.262,21,54,0.306,0.517,5,0.35,127,0.264,0.255,0.18497109826589594,0.06069364161849711
Cody Bellinger,NYY,343,0.269,13,45,0.327,0.463,9,0.339,119,0.281,0.194,0.15160349854227406,0.08163265306122448
Masyn Winn,STL,323,0.257,7,30,0.32,0.384,4,0.311,99,0.297,0.127,0.17956656346749225,0.07739938080495357
Kyle Stowers,MIA,316,0.282,15,45,0.356,0.511,3,0.373,138,0.368,0.22900000000000004,0.29430379746835444,0.0949367088607595
J.P. Crawford,SEA,371,0.284,6,31,0.385,0.377,5,0.344,128,0.34,0.09300000000000003,0.1725067385444744,0.1347708894878706
George Springer,TOR,325,0.284,15,51,0.379,0.513,10,0.384,149,0.318,0.22900000000000004,0.2,0.12923076923076923
Seiya Suzuki,CHC,372,0.261,24,74,0.317,0.552,2,0.367,138,0.292,0.29100000000000004,0.2661290322580645,0.08064516129032258
Ryan O'Hearn,BAL,290,0.29,11,30,0.376,0.464,3,0.368,139,0.318,0.17400000000000004,0.16551724137931034,0.10689655172413794
Vladimir Guerrero Jr.,TOR,378,0.274,12,44,0.378,0.439,3,0.357,130,0.295,0.16499999999999998,0.1402116402116402,0.12962962962962962
