Name,Team,G,AB,R,H,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,101,370,89,128,36,82,6,73,118,0.346,0.455,0.714,1.168,0.473,211,0.418,0.368,0.262,0.162
Cal Raleigh,SEA,99,367,68,94,39,84,11,63,108,0.256,0.37,0.619,0.988,0.408,172,0.247,0.362,0.247,0.14400000000000002
Pete Crow-Armstrong,CHC,99,389,68,105,26,73,28,18,97,0.27,0.305,0.555,0.86,0.363,137,0.294,0.285,0.233,0.043
Bobby Witt Jr.,KCR,102,403,60,116,14,56,27,31,84,0.288,0.339,0.489,0.827,0.35,122,0.328,0.201,0.19,0.07
Shohei Ohtani,LAD,100,391,95,107,36,69,13,63,117,0.274,0.377,0.616,0.993,0.412,169,0.296,0.343,0.254,0.13699999999999998
Jose Ramirez,CLE,97,363,61,107,21,56,30,41,45,0.295,0.37,0.529,0.898,0.374,143,0.285,0.234,0.109,0.099
Byron Buxton,MIN,82,317,68,92,23,58,17,28,92,0.29,0.351,0.577,0.929,0.391,153,0.335,0.287,0.261,0.079
Corbin Carroll,ARI,85,344,66,86,21,49,13,32,98,0.25,0.326,0.558,0.884,0.373,140,0.288,0.308,0.255,0.083
Kyle Tucker,CHC,100,371,71,102,18,57,23,65,62,0.275,0.383,0.493,0.876,0.375,145,0.286,0.218,0.14,0.147
Jeremy Pena,HOU,82,317,48,102,11,40,15,20,55,0.322,0.378,0.489,0.867,0.376,144,0.36,0.167,0.157,0.057
Fernando Tatis Jr.,SDP,99,374,67,98,16,42,22,55,79,0.262,0.362,0.439,0.8,0.347,127,0.293,0.176,0.182,0.127
Trea Turner,PHI,99,406,65,117,11,41,25,32,73,0.288,0.345,0.426,0.771,0.337,115,0.327,0.138,0.16399999999999998,0.07200000000000001
Will Smith,LAD,79,265,51,86,14,48,2,46,57,0.325,0.423,0.551,0.974,0.417,173,0.362,0.226,0.179,0.14400000000000002
James Wood,WSN,100,375,61,102,24,70,14,62,123,0.272,0.376,0.52,0.896,0.38,147,0.338,0.248,0.278,0.14
