Name,Team,AVG,HR,RBI,OBP,SLG,SB,wOBA,wRC+,BABIP,ISO,K%,BB%
Aaron Judge,NYY,0.323,40,93,0.439,0.667,8,0.448,193,0.383,0.344,0.257,0.16699999999999998
Cal Raleigh,SEA,0.247,50,107,0.353,0.596,14,0.393,161,0.246,0.348,0.271,0.132
Bobby Witt Jr.,KCR,0.297,19,72,0.354,0.504,34,0.362,130,0.338,0.207,0.187,0.077
Shohei Ohtani,LAD,0.279,45,84,0.389,0.615,17,0.414,170,0.311,0.337,0.26,0.14800000000000002
Trea Turner,PHI,0.299,14,61,0.353,0.451,32,0.349,123,0.343,0.152,0.16699999999999998,0.07
Geraldo Perdomo,ARI,0.29,14,84,0.393,0.449,23,0.368,136,0.303,0.159,0.10800000000000001,0.139
Pete Crow-Armstrong,CHC,0.254,28,82,0.294,0.508,30,0.339,120,0.284,0.254,0.242,0.043
Corbin Carroll,ARI,0.256,27,66,0.332,0.553,20,0.372,139,0.294,0.297,0.245,0.091
Fernando Tatis Jr.,SDP,0.263,18,54,0.372,0.433,26,0.351,130,0.301,0.169,0.18100000000000002,0.13699999999999998
Jose Ramirez,CLE,0.286,26,68,0.36,0.507,36,0.36,132,0.278,0.221,0.107,0.096
Francisco Lindor,NYM,0.262,25,72,0.331,0.455,23,0.339,121,0.287,0.194,0.193,0.076
Maikel Garcia,KCR,0.298,13,58,0.361,0.466,22,0.358,127,0.326,0.168,0.133,0.091
Jeremy Pena,HOU,0.306,14,50,0.365,0.477,18,0.364,135,0.343,0.172,0.165,0.062
Kyle Tucker,CHC,0.262,21,69,0.375,0.464,25,0.362,136,0.275,0.202,0.14300000000000002,0.149
Ketel Marte,ARI,0.29,23,59,0.389,0.532,3,0.392,153,0.298,0.242,0.15,0.129
Gunnar Henderson,BAL,0.283,16,59,0.354,0.472,19,0.355,129,0.343,0.189,0.22,0.094
Kyle Schwarber,PHI,0.247,45,110,0.37,0.57,10,0.397,156,0.26,0.323,0.264,0.149
Julio Rodriguez,SEA,0.259,25,73,0.313,0.457,23,0.332,119,0.298,0.198,0.22399999999999998,0.055999999999999994
Kyle Stowers,MIA,0.288,25,73,0.368,0.544,5,0.387,149,0.356,0.256,0.27399999999999997,0.105
Juan Soto,NYM,0.251,32,77,0.39,0.495,21,0.377,148,0.259,0.244,0.19399999999999998,0.185
