Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,10,3,2.23,153,16,0.83,9.56,0.67,2.02
Garrett Crochet,BOS,10,4,2.23,160,34,1.04,4.71,0.7,2.41
Paul Skenes,PIT,4,8,2.01,131,30,0.93,4.37,0.45,2.41
Zack Wheeler,PHI,9,3,2.36,154,26,0.86,5.92,0.96,2.69
Logan Webb,SFG,9,7,3.08,140,29,1.21,4.83,0.62,2.58
Cristopher Sanchez,PHI,8,2,2.5,122,32,1.14,3.81,0.55,2.75
Kris Bubic,KCR,7,6,2.48,113,34,1.16,3.32,0.5,2.75
MacKenzie Gore,WSN,4,8,3.02,138,35,1.2,3.94,0.9,2.92
Framber Valdez,HOU,10,4,2.75,125,41,1.12,3.05,0.6,3.02
Hunter Brown,HOU,9,4,2.43,137,34,0.96,4.03,0.94,3.03
Jesus Luzardo,PHI,8,5,4.29,129,38,1.43,3.39,0.74,2.87
Max Fried,NYY,11,3,2.43,113,27,1.01,4.19,0.66,3.03
Sonny Gray,STL,9,4,4.04,123,19,1.15,6.47,0.97,2.87
Nick Pivetta,SDP,9,2,2.88,122,29,1.02,4.21,0.99,3.11
Matthew Boyd,CHC,10,3,2.34,102,23,1.03,4.43,0.81,3.18
Jacob deGrom,TEX,9,2,2.32,113,24,0.91,4.71,1.04,3.28
Joe Ryan,MIN,9,4,2.72,121,23,0.91,5.26,0.99,3.21
Yoshinobu Yamamoto,LAD,8,7,2.59,116,36,1.04,3.22,0.86,3.2
Mitch Keller,PIT,3,10,3.48,92,27,1.14,3.41,0.68,3.33
Bryan Woo,SEA,8,4,2.75,109,21,0.93,5.19,1.1,3.4
Jose Soriano,LAA,6,7,3.9,98,55,1.45,1.78,0.32,3.36
Freddy Peralta,MIL,12,4,2.85,122,40,1.08,3.05,1.0,3.66
Spencer Schwellenbach,ATL,7,4,3.09,108,18,0.97,6.0,1.06,3.21
Dylan Cease,SDP,3,9,4.64,139,39,1.3,3.56,1.24,3.49
Carlos Rodon,NYY,10,6,3.08,135,41,1.0,3.29,1.13,3.59
Merrill Kelly,ARI,8,5,3.34,113,33,1.05,3.42,1.01,3.48
David Peterson,NYM,6,4,3.06,93,37,1.24,2.51,0.58,3.37
Yusei Kikuchi,LAA,4,6,3.13,123,52,1.38,2.37,1.07,3.89
Chris Bassitt,TOR,10,4,3.89,109,29,1.36,3.76,1.03,3.66
Michael Wacha,KCR,4,9,3.62,85,34,1.24,2.5,0.88,3.84
Robbie Ray,SFG,9,3,2.65,128,44,1.08,2.91,0.98,3.49
Dean Kremer,BAL,8,7,4.06,94,30,1.25,3.13,1.09,3.84
Luis Castillo,SEA,7,5,3.21,100,36,1.21,2.78,0.94,3.72
Matthew Liberatore,STL,6,7,4.13,80,22,1.25,3.64,0.9,3.51
Nick Lodolo,CIN,7,6,3.33,104,23,1.08,4.52,1.27,3.99
Taj Bradley,TBR,6,6,4.35,95,41,1.24,2.32,0.98,4.01
Nick Martinez,CIN,8,9,4.73,81,27,1.22,3.0,1.16,4.18
Kevin Gausman,TOR,6,7,4.19,104,34,1.16,3.06,1.15,3.86
Will Warren,NYY,6,5,4.91,117,47,1.44,2.49,1.0,3.66
Brady Singer,CIN,7,7,4.32,92,40,1.35,2.3,0.99,4.03
Ryan Pepiot,TBR,6,7,3.38,110,37,1.15,2.97,1.42,4.31
Luis Severino,ATH,3,11,5.1,84,40,1.39,2.1,0.99,4.39
Jose Berrios,TOR,5,4,3.75,97,41,1.24,2.37,1.17,4.29
Clay Holmes,NYM,8,5,3.48,86,43,1.27,2.0,0.91,4.2
Shane Baz,TBR,8,5,4.17,107,40,1.25,2.68,1.39,4.41
Patrick Corbin,TEX,6,7,3.91,80,29,1.29,2.76,1.27,4.22
Seth Lugo,KCR,6,5,2.94,93,31,1.09,3.0,1.43,4.37
Mitchell Parker,WSN,6,10,5.0,70,41,1.4,1.71,1.08,4.58
Chris Paddack,MIN,3,9,5.14,75,27,1.31,2.78,1.37,4.5
Jack Flaherty,DET,5,9,4.65,124,40,1.24,3.1,1.7,4.36
Zack Littell,TBR,8,7,3.53,83,17,1.09,4.88,1.77,4.82
Tanner Bibee,CLE,5,9,4.29,95,33,1.24,2.88,1.4,4.47
Michael Lorenzen,KCR,5,8,4.61,85,29,1.3,2.93,1.54,4.53
Grant Holmes,ATL,4,8,3.77,119,50,1.3,2.38,1.29,4.25
Jeffrey Springs,ATH,8,6,3.93,86,38,1.18,2.26,1.55,4.84
Tyler Anderson,LAA,2,6,4.34,82,39,1.41,2.1,1.5,4.89
Brandon Pfaadt,ARI,10,6,4.82,90,23,1.26,3.91,1.44,4.41
JP Sears,ATH,7,8,5.13,84,26,1.28,3.23,1.86,5.04
Andre Pallante,STL,5,6,4.71,67,34,1.34,1.97,1.2,4.55
Sandy Alcantara,MIA,4,9,7.14,73,39,1.49,1.87,1.21,4.66
Bailey Falter,PIT,6,5,4.0,61,35,1.22,1.74,1.42,5.0
Gavin Williams,CLE,5,4,3.7,95,57,1.43,1.67,1.29,4.83
Tomoyuki Sugano,BAL,7,5,4.44,59,22,1.3,2.68,1.72,5.17
Jake Irvin,WSN,7,5,4.58,83,38,1.29,2.18,1.71,5.21
Antonio Senzatela,COL,4,13,6.41,52,34,1.83,1.53,1.46,5.31
Zac Gallen,ARI,7,10,5.4,110,45,1.37,2.44,1.64,4.8
