Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,10,2,2.02,148,14,0.81,10.57,0.62,1.87
Paul Skenes,PIT,4,7,1.94,125,30,0.92,4.17,0.39,2.37
Zack Wheeler,PHI,9,3,2.17,148,25,0.84,5.92,0.85,2.49
Garrett Crochet,BOS,9,4,2.39,151,34,1.09,4.44,0.75,2.5
Logan Webb,SFG,8,6,2.62,133,27,1.16,4.93,0.52,2.33
Hunter Brown,HOU,9,3,1.82,126,29,0.9,4.34,0.78,2.71
Max Fried,NYY,11,2,2.27,111,24,0.96,4.63,0.68,2.98
Kris Bubic,KCR,7,6,2.36,107,32,1.15,3.34,0.52,2.78
Jesus Luzardo,PHI,7,5,4.44,115,35,1.47,3.29,0.65,2.77
MacKenzie Gore,WSN,3,8,3.11,131,34,1.21,3.85,0.95,3.01
Cristopher Sanchez,PHI,7,2,2.68,108,28,1.13,3.86,0.63,2.86
Framber Valdez,HOU,10,4,2.9,115,41,1.15,2.8,0.63,3.16
Jacob deGrom,TEX,9,2,2.13,100,21,0.89,4.76,0.89,3.08
Sonny Gray,STL,8,3,3.51,107,18,1.08,5.94,0.9,2.88
Yoshinobu Yamamoto,LAD,8,6,2.51,109,32,1.01,3.41,0.84,3.1
Chris Sale,ATL,5,4,2.52,114,26,1.16,4.38,0.71,2.66
Matthew Boyd,CHC,9,3,2.52,96,23,1.07,4.17,0.87,3.3
Joe Ryan,MIN,8,4,2.76,116,21,0.89,5.52,1.04,3.25
Mitch Keller,PIT,3,10,3.64,84,26,1.19,3.23,0.59,3.24
Nick Pivetta,SDP,9,2,3.25,107,24,1.04,4.46,1.11,3.26
Spencer Schwellenbach,ATL,7,4,3.09,108,18,0.97,6.0,1.06,3.2
Jose Soriano,LAA,6,5,3.72,91,47,1.42,1.94,0.35,3.25
Bryan Woo,SEA,8,4,2.77,104,19,0.96,5.47,1.17,3.46
Matthew Liberatore,STL,6,6,3.7,80,21,1.18,3.81,0.74,3.22
Chad Patrick,MIL,3,7,3.52,95,30,1.3,3.17,0.95,3.53
Dylan Cease,SDP,3,8,4.62,121,36,1.33,3.36,1.11,3.4
Yusei Kikuchi,LAA,3,6,2.81,106,46,1.37,2.3,0.97,3.79
Carlos Rodon,NYY,9,6,3.3,127,40,1.03,3.18,1.21,3.74
Merrill Kelly,ARI,7,4,3.55,103,29,1.09,3.55,1.04,3.47
Robbie Ray,SFG,9,3,2.68,117,39,1.09,3.0,1.01,3.45
Freddy Peralta,MIL,9,4,2.91,104,35,1.09,2.97,1.09,3.83
Chris Bassitt,TOR,8,4,4.32,102,28,1.39,3.64,1.08,3.69
David Peterson,NYM,6,4,3.18,87,37,1.27,2.35,0.62,3.51
Michael Wacha,KCR,4,9,3.83,79,30,1.29,2.63,0.98,3.92
Kevin Gausman,TOR,6,6,4.13,102,32,1.15,3.19,1.12,3.75
Nick Martinez,CIN,6,8,4.2,71,21,1.17,3.38,1.25,4.23
Jose Berrios,TOR,4,3,3.64,92,37,1.24,2.49,1.1,4.1
Dean Kremer,BAL,7,7,4.53,81,26,1.32,3.12,1.24,4.08
Ryan Pepiot,TBR,6,6,3.34,101,33,1.15,3.06,1.41,4.2
Luis Castillo,SEA,5,5,3.31,87,32,1.22,2.72,1.05,3.9
Nick Lodolo,CIN,5,6,3.58,93,22,1.14,4.23,1.34,4.16
Taj Bradley,TBR,5,6,4.79,84,37,1.3,2.27,1.11,4.22
Chris Paddack,MIN,3,7,4.64,68,24,1.22,2.83,1.23,4.29
Seth Lugo,KCR,6,5,2.65,83,30,1.09,2.77,1.23,4.16
Luis Severino,ATH,2,10,5.3,73,36,1.39,2.03,0.99,4.45
Mitchell Parker,WSN,5,9,4.72,66,37,1.38,1.78,1.11,4.57
Luis L. Ortiz,CLE,4,9,4.36,96,42,1.38,2.29,1.22,4.13
Shane Baz,TBR,8,3,4.33,97,36,1.25,2.69,1.47,4.49
Kyle Hendricks,LAA,5,6,4.68,62,23,1.27,2.7,1.46,4.73
Grant Holmes,ATL,4,8,3.44,118,48,1.24,2.46,1.32,4.24
Tanner Bibee,CLE,4,9,4.2,87,30,1.24,2.9,1.37,4.42
Clay Holmes,NYM,8,4,2.99,76,39,1.24,1.95,1.06,4.37
Bailey Falter,PIT,6,4,3.69,56,32,1.18,1.75,1.17,4.63
Michael Lorenzen,KCR,5,8,4.61,85,29,1.3,2.93,1.54,4.53
Jeffrey Springs,ATH,6,6,4.07,79,37,1.23,2.14,1.48,4.77
Andrew Heaney,PIT,4,7,4.16,71,31,1.2,2.29,1.35,4.61
Tyler Anderson,LAA,2,6,4.19,79,37,1.38,2.14,1.49,4.84
JP Sears,ATH,7,7,4.76,73,24,1.27,3.04,1.75,4.97
Gavin Williams,CLE,5,4,3.61,90,52,1.41,1.73,1.17,4.58
