Name,Team,W,L,ERA,SO,BB,WHIP,K/BB,HR/9,FIP
Tarik Skubal,DET,8,2,2.06,117,12,0.85,9.75,0.56,1.92
Logan Webb,SFG,7,5,2.49,114,20,1.12,5.7,0.53,2.22
Paul Skenes,PIT,4,6,1.85,106,27,0.88,3.93,0.44,2.49
Garrett Crochet,BOS,7,4,2.2,125,28,1.03,4.46,0.79,2.6
Zack Wheeler,PHI,7,2,2.61,118,22,0.91,5.36,0.97,2.71
Kris Bubic,KCR,6,4,2.12,88,27,1.12,3.26,0.32,2.52
Max Fried,NYY,9,2,2.05,97,20,0.96,4.85,0.62,2.83
Hunter Brown,HOU,8,3,1.88,109,28,0.92,3.89,0.79,2.84
Jesus Luzardo,PHI,7,3,4.08,104,29,1.37,3.59,0.7,2.78
MacKenzie Gore,WSN,3,7,3.19,123,27,1.19,4.56,1.06,2.93
Chris Sale,ATL,5,4,2.52,114,26,1.16,4.38,0.71,2.65
Framber Valdez,HOU,8,4,3.09,99,33,1.13,3.0,0.56,2.98
Dylan Cease,SDP,3,6,4.43,109,33,1.29,3.3,0.82,3.01
Jacob deGrom,TEX,7,2,2.24,87,18,0.92,4.83,0.92,3.11
Jose Soriano,LAA,5,5,3.39,80,43,1.42,1.86,0.29,3.23
Matthew Liberatore,STL,5,6,3.96,71,12,1.15,5.92,0.73,2.97
Mitch Keller,PIT,1,10,4.02,73,24,1.22,3.04,0.57,3.24
Cristopher Sanchez,PHI,6,2,2.87,92,28,1.19,3.29,0.72,3.14
Sonny Gray,STL,7,2,3.72,90,17,1.19,5.29,1.06,3.19
Joe Ryan,MIN,7,3,3.06,96,20,0.91,4.8,1.05,3.37
Bryan Woo,SEA,7,4,3.12,87,15,0.95,5.8,1.23,3.59
Merrill Kelly,ARI,7,3,3.39,93,25,1.05,3.72,0.97,3.31
Chris Bassitt,TOR,7,3,3.61,90,21,1.26,4.29,0.97,3.41
Yoshinobu Yamamoto,LAD,6,6,2.76,95,30,1.09,3.17,0.96,3.35
Spencer Schwellenbach,ATL,6,4,3.21,96,17,0.99,5.65,1.13,3.4
Chad Patrick,MIL,3,7,3.72,85,27,1.32,3.15,0.96,3.55
Carlos Rodon,NYY,9,5,3.1,114,33,0.98,3.45,1.22,3.59
Robbie Ray,SFG,8,2,2.83,104,36,1.16,2.89,0.88,3.26
Nick Pivetta,SDP,7,2,3.64,91,24,1.08,3.79,1.18,3.5
David Peterson,NYM,5,3,2.98,78,31,1.24,2.52,0.6,3.37
Luis Severino,ATH,2,7,4.42,66,30,1.34,2.2,0.66,3.74
Matthew Boyd,CHC,6,3,2.84,79,21,1.14,3.76,1.05,3.66
Michael Wacha,KCR,4,6,3.24,65,23,1.19,2.83,0.94,3.8
Freddy Peralta,MIL,7,4,2.76,90,34,1.11,2.65,1.13,3.98
Drew Rasmussen,TBR,6,5,2.61,67,18,0.97,3.72,0.91,3.53
Nick Lodolo,CIN,5,5,3.63,80,18,1.12,4.44,1.21,3.97
Ryan Pepiot,TBR,5,6,3.04,91,28,1.1,3.25,1.33,4.06
Yusei Kikuchi,LAA,2,6,3.01,87,43,1.43,2.02,1.1,4.2
Brady Singer,CIN,7,5,4.13,67,33,1.3,2.03,1.0,4.2
Dean Kremer,BAL,6,7,4.6,72,24,1.34,3.0,1.2,4.04
Kevin Gausman,TOR,5,6,4.6,84,24,1.13,3.5,1.26,3.84
Nick Martinez,CIN,4,8,4.4,63,19,1.23,3.32,1.36,4.38
Clay Holmes,NYM,7,4,3.04,73,31,1.23,2.35,0.98,3.99
Jose Berrios,TOR,3,3,3.51,81,36,1.24,2.25,1.14,4.27
Erick Fedde,STL,3,6,3.54,55,36,1.3,1.53,0.64,4.05
Seth Lugo,KCR,4,5,2.93,68,23,1.05,2.96,1.3,4.26
Luis Castillo,SEA,4,5,3.37,72,28,1.24,2.57,1.16,4.12
Luis L. Ortiz,CLE,4,8,4.3,91,41,1.41,2.22,1.1,3.98
Ben Brown,CHC,4,6,6.13,91,27,1.53,3.37,1.47,4.08
Chris Paddack,MIN,3,6,4.48,56,23,1.23,2.43,1.23,4.36
Bailey Falter,PIT,6,3,3.59,51,31,1.18,1.65,0.95,4.38
Mitchell Parker,WSN,5,8,4.59,59,33,1.32,1.79,1.15,4.62
Jeffrey Springs,ATH,6,5,4.24,72,32,1.23,2.25,1.34,4.5
Bailey Ober,MIN,4,5,4.9,69,21,1.37,3.29,1.77,4.9
Andrew Heaney,PIT,3,6,3.94,61,27,1.19,2.26,1.2,4.42
Davis Martin,CHW,2,7,3.79,53,19,1.23,2.79,1.34,4.55
Kyle Hendricks,LAA,5,6,4.83,55,23,1.32,2.39,1.54,4.94
Jameson Taillon,CHC,7,4,3.84,67,17,1.04,3.94,1.87,4.82
Jake Irvin,WSN,6,3,4.18,66,26,1.23,2.54,1.52,4.8
Andre Pallante,STL,5,3,4.48,58,27,1.31,2.15,1.2,4.42
Tanner Bibee,CLE,4,7,3.86,75,26,1.23,2.88,1.52,4.6
Michael Lorenzen,KCR,4,7,4.81,69,28,1.37,2.46,1.53,4.7
Tomoyuki Sugano,BAL,5,4,3.55,50,17,1.21,2.94,1.51,4.81
Grant Holmes,ATL,4,6,3.71,97,39,1.22,2.49,1.48,4.42
Taj Bradley,TBR,4,5,4.95,73,34,1.35,2.15,1.35,4.62
Tyler Anderson,LAA,2,5,4.56,65,31,1.4,2.1,1.67,5.14
Shane Baz,TBR,7,3,4.79,77,34,1.33,2.26,1.52,4.83
Zack Littell,TBR,6,7,3.78,66,11,1.1,6.0,2.03,5.14
JP Sears,ATH,5,7,5.44,63,19,1.33,3.32,2.0,5.3
Randy Vasquez,SDP,3,4,3.6,45,37,1.33,1.22,1.35,5.51
Jack Kochanowicz,LAA,3,8,5.49,59,38,1.55,1.55,1.65,5.62
Zac Gallen,ARI,5,8,5.6,86,41,1.4,2.1,1.67,5.02
Brandon Pfaadt,ARI,8,5,5.49,65,20,1.39,3.25,1.79,5.13
