Tm,1,2,3,4,5,6,7,8,9,W
W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,0.0
47,35,.573,-,25-17,22-18,410,304,+106,L1,0.0
47,36,.566,0.5,27-23,20-13,402,327,+75,W1,0.0
44,38,.537,3,25-16,19-22,360,366,-6,L1,0.0
41,43,.488,7,23-18,18-25,396,384,+12,W1,0.0
35,47,.427,12,18-22,17-25,340,421,-81,L1,0.0
W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,0.0
52,32,.619,-,29-14,23-18,421,325,+96,W1,0.0
40,41,.494,10.5,20-19,20-22,303,343,-40,L3,0.0
40,43,.482,11.5,22-17,18-26,356,367,-11,L1,0.0
39,44,.470,12.5,20-23,19-21,276,305,-29,W1,0.0
27,56,.325,24.5,18-24,9-32,282,365,-83,W1,0.0
W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,0.0
49,34,.590,-,31-14,18-20,348,304,+44,L1,0.0
42,40,.512,6.5,20-19,22-21,374,363,+11,L1,0.0
41,42,.494,8,24-17,17-25,304,286,+18,W1,0.0
40,41,.494,8,19-19,21-22,347,399,-52,L1,0.0
34,51,.400,16,15-27,19-24,349,484,-135,W1,0.0
