Tm,1,2,3,4,5,6,7,8,9,W
W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,0.0
49,35,.583,-,26-14,23-21,386,340,+46,W1,0.0
48,37,.565,1.5,29-12,19-25,368,329,+39,L3,0.0
38,45,.458,10.5,23-17,15-28,339,327,+12,L1,0.0
36,45,.444,11.5,17-24,19-21,347,423,-76,W6,0.0
34,49,.410,14.5,16-24,18-25,359,430,-71,L1,0.0
W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,0.0
49,35,.583,-,25-15,24-20,453,349,+104,L1,0.0
47,36,.566,1.5,27-16,20-20,394,337,+57,W4,0.0
47,38,.553,2.5,26-17,21-21,403,358,+45,W3,0.0
44,40,.524,5,24-19,20-21,387,347,+40,W1,0.0
35,50,.412,14.5,23-21,12-29,297,339,-42,W3,0.0
W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,0.0
52,32,.619,-,30-14,22-18,472,386,+86,L1,0.0
45,38,.542,6.5,25-14,20-24,345,328,+17,L1,0.0
45,39,.536,7,25-17,20-22,349,317,+32,L2,0.0
41,41,.500,10,20-20,21-21,428,424,+4,L3,0.0
18,65,.217,33.5,8-32,10-33,291,513,-222,L5,0.0
